Time Step;Label Index;Name (NA);Voxel count;Volume (mm³);Center Of Mass X (mm);Center Of Mass Y (mm);Center Of Mass Z (mm)
0;2650;;619.0;3.823834192274722e-08;1.3340487580765097;1.0953856805912774;0.11521848351192569
0;2651;;619.0;3.823834192274722e-08;1.0165579024368063;0.14378568615005768;0.1293975920374184
0;2652;;622.0;3.8423665066153104e-08;1.1603928723606183;0.26957547227747797;0.13486674937859208
0;2653;;624.0;3.854721382842369e-08;1.7016319462541938;0.6277613339257049;0.12819862233203919
0;2654;;624.0;3.854721382842369e-08;1.5392376053036847;1.1039023801552907;0.13944757328896226
0;2655;;626.0;3.867076259069429e-08;0.7815881467029642;0.25654681840101196;0.13941270802316397
0;2656;;627.0;3.873253697182958e-08;1.0598533139666992;1.0660836381044207;0.1279977445566742
0;2657;;628.0;3.879431135296487e-08;1.4919807102842453;0.3464315669397765;0.1278984684714153
0;2658;;628.0;3.879431135296487e-08;1.4186387777295886;0.6040339264499899;0.13241831396237072
0;2659;;629.0;3.8856085734100167e-08;1.494514571569615;0.9931347088429434;0.11521948832232579
0;2660;;630.0;3.891786011523546e-08;1.2146938330054118;0.2448978667883374;0.12102600495542382
0;2661;;630.0;3.891786011523546e-08;1.3002155870480818;0.33846485014985334;0.13599926414831268
0;2662;;631.0;3.8979634496370755e-08;1.3495871364489302;0.4696320665954849;0.13223964501523153
0;2663;;631.0;3.8979634496370755e-08;0.8091322335844562;0.2993529998678435;0.13226802780318717
0;2664;;632.0;3.9041408877506046e-08;1.336281974640976;0.49240419954366466;0.12505422388598922
0;2665;;632.0;3.9041408877506046e-08;0.7622364067638916;1.0339066888505144;0.11673674168649555
0;2666;;633.0;3.910318325864134e-08;1.2147099076547119;0.5091510707396539;0.13519054224947752
0;2667;;633.0;3.910318325864134e-08;1.7119492920087287;0.8005236572153428;0.13702707951481716
0;2668;;634.0;3.9164957639776634e-08;0.8794481937177399;0.45241879092740395;0.13663641046090436
0;2669;;634.0;3.9164957639776634e-08;0.9035899702875649;0.44715230400567263;0.13026480783629868
